Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   ID:2 R2 (X)                   ID:2 R2 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:6 R4 (X)                   ID:6 R4 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
13:17:00.604                  3.5981                        -0.4293                       5.5094                        0.6467                        -1.5385                       -17.5496                      1.7599                        -0.5342                       0.4679                        -1.7484                       0.6702                        -3.6346                       0                             0.3                           
13:17:00.884                  3.5976                        -0.4294                       5.5086                        0.6461                        -1.5387                       -17.5498                      1.7598                        -0.5338                       0.4676                        -1.7488                       0.6703                        -3.6345                       0                             0.3                           
13:17:01.164                  3.5979                        -0.4293                       5.5083                        0.6449                        -1.5391                       -17.5504                      1.7602                        -0.5335                       0.4677                        -1.7488                       0.67                          -3.6342                       0                             0.299                         
13:17:01.444                  3.5982                        -0.4292                       5.5088                        0.6442                        -1.5391                       -17.5505                      1.7605                        -0.5336                       0.4678                        -1.7492                       0.6693                        -3.634                        0                             0.3                           
13:17:01.724                  3.5982                        -0.4292                       5.5095                        0.6447                        -1.5388                       -17.5504                      1.7601                        -0.5342                       0.4671                        -1.7495                       0.6691                        -3.6342                       0                             0.3                           
13:17:01.996                  3.5977                        -0.4291                       5.5103                        0.6455                        -1.5389                       -17.55                        1.7591                        -0.5348                       0.4667                        -1.749                        0.6697                        -3.6345                       0                             0.3                           
13:17:02.284                  3.5973                        -0.4294                       5.5109                        0.646                         -1.5396                       -17.5499                      1.7586                        -0.5347                       0.4668                        -1.7484                       0.6702                        -3.6347                       0                             0.3                           
13:17:02.556                  3.5973                        -0.43                         5.5109                        0.6453                        -1.5393                       -17.5497                      1.7588                        -0.5343                       0.4669                        -1.7479                       0.6708                        -3.6349                       0                             0.299                         
13:17:02.828                  3.5972                        -0.4303                       5.5109                        0.6444                        -1.5383                       -17.5494                      1.7596                        -0.5338                       0.4667                        -1.7478                       0.6709                        -3.6345                       0                             0.3                           
13:17:03.108                  3.5969                        -0.4298                       5.5105                        0.6441                        -1.5375                       -17.5493                      1.7601                        -0.5337                       0.4664                        -1.748                        0.6706                        -3.6343                       0                             0.3                           
13:17:03.380                  3.5971                        -0.4289                       5.5102                        0.6448                        -1.5377                       -17.5491                      1.7602                        -0.5342                       0.4662                        -1.7486                       0.6705                        -3.6341                       0                             0.3                           
13:17:03.653                  3.5973                        -0.4282                       5.5097                        0.6453                        -1.5383                       -17.5485                      1.7597                        -0.5343                       0.4664                        -1.749                        0.6702                        -3.6346                       0                             0.299                         
13:17:03.941                  3.5972                        -0.4279                       5.5096                        0.6455                        -1.5389                       -17.5485                      1.7593                        -0.5343                       0.4668                        -1.7493                       0.6699                        -3.6348                       0                             0.3                           
13:17:04.213                  3.5965                        -0.4282                       5.5095                        0.6457                        -1.5392                       -17.549                       1.7594                        -0.5343                       0.467                         -1.7493                       0.6701                        -3.635                        0                             0.3                           
13:17:04.485                  3.5966                        -0.4285                       5.5094                        0.6457                        -1.5393                       -17.5489                      1.7592                        -0.5339                       0.4668                        -1.7491                       0.6704                        -3.635                        0                             0.3                           
13:17:04.773                  3.5971                        -0.4279                       5.5095                        0.6457                        -1.5394                       -17.5485                      1.7588                        -0.534                        0.4669                        -1.749                        0.6707                        -3.6347                       0                             0.3                           
13:17:05.043                  3.5975                        -0.4274                       5.5096                        0.6455                        -1.5396                       -17.5484                      1.7589                        -0.5343                       0.467                         -1.7487                       0.671                         -3.6345                       0                             0.3                           
13:17:05.313                  3.5974                        -0.4274                       5.5095                        0.6452                        -1.5398                       -17.5485                      1.7592                        -0.5347                       0.4673                        -1.7487                       0.671                         -3.6347                       0                             0.299                         
