Specimen_AllReader_Record7 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   R2 D (cm)                     ID:3 R3 (X)                   ID:3 R3 (Y)                   R4 T (N��m),                  ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
14:04:58.826                  5.146                         0.5203                        0.298                         2.9612                        -0.3293                       0                             -1.5678                       -17.4818                      1.5821                        -2.4605                       0.5004                        -1.674                        0.6753                        -3.5388                       
14:04:59.856                  5.1464                        0.5209                        0.298                         2.9605                        -0.3291                       0                             -1.5678                       -17.4815                      1.5819                        -2.46                         0.4998                        -1.6741                       0.6753                        -3.5383                       
14:05:00.826                  5.1466                        0.5212                        0.298                         2.9603                        -0.3283                       0                             -1.5686                       -17.4821                      1.5813                        -2.4595                       0.5                           -1.6724                       0.6748                        -3.539                        
14:05:01.886                  5.1468                        0.5211                        0.298                         2.9601                        -0.3295                       0                             -1.568                        -17.4826                      1.5827                        -2.4595                       0.5                           -1.6736                       0.6759                        -3.5394                       
14:05:02.894                  5.1466                        0.5201                        0.298                         2.9603                        -0.3285                       0                             -1.5675                       -17.4832                      1.5814                        -2.46                         0.5002                        -1.6733                       0.6736                        -3.539                        
14:05:03.885                  5.1464                        0.5205                        0.298                         2.9606                        -0.3296                       0                             -1.5678                       -17.4825                      1.5822                        -2.4584                       0.5009                        -1.6724                       0.6757                        -3.5387                       
14:05:04.893                  5.1465                        0.5214                        0.298                         2.9588                        -0.3291                       0                             -1.568                        -17.483                       1.5812                        -2.4596                       0.5005                        -1.6744                       0.6751                        -3.5391                       
14:05:05.932                  5.1463                        0.5201                        0.298                         2.9601                        -0.329                        0                             -1.568                        -17.4822                      1.5805                        -2.4595                       0.5003                        -1.6732                       0.6754                        -3.5386                       
14:05:06.923                  5.1462                        0.5206                        0.298                         2.9592                        -0.3298                       0                             -1.5684                       -17.4832                      1.582                         -2.4588                       0.4995                        -1.6734                       0.6746                        -3.5394                       
14:05:07.930                  5.1462                        0.521                         0.298                         2.9591                        -0.3293                       0                             -1.5697                       -17.4819                      1.5825                        -2.4595                       0.5011                        -1.6733                       0.6747                        -3.5387                       
14:05:08.954                  5.1463                        0.5201                        0.298                         2.959                         -0.3294                       0                             -1.568                        -17.4813                      1.5815                        -2.4577                       0.4999                        -1.6737                       0.6758                        -3.5382                       
14:05:09.961                  5.1463                        0.5202                        0.298                         2.9577                        -0.3302                       0                             -1.5684                       -17.4808                      1.5813                        -2.4574                       0.5007                        -1.6735                       0.6738                        -3.5389                       
14:05:10.969                  5.1454                        0.5208                        0.298                         2.959                         -0.3285                       0                             -1.5677                       -17.4826                      1.5822                        -2.4578                       0.5002                        -1.6736                       0.6738                        -3.5388                       
14:05:11.992                  5.1453                        0.5207                        0.298                         2.9593                        -0.3287                       0                             -1.5682                       -17.4826                      1.5823                        -2.4575                       0.4998                        -1.6728                       0.6746                        -3.5388                       
14:05:13.000                  5.1467                        0.5199                        0.298                         2.9595                        -0.3294                       0                             -1.5683                       -17.4819                      1.5813                        -2.4576                       0.5006                        -1.6739                       0.6741                        -3.5391                       
14:05:14.007                  5.1452                        0.5199                        0.298                         2.9597                        -0.3289                       0                             -1.5675                       -17.4813                      1.5813                        -2.4575                       0.5001                        -1.6742                       0.6744                        -3.5387                       
14:05:15.030                  5.1465                        0.5193                        0.298                         2.9584                        -0.3292                       0                             -1.5684                       -17.4816                      1.5817                        -2.4579                       0.4999                        -1.6735                       0.6736                        -3.5387                       
14:05:16.006                  5.146                         0.5209                        0.298                         2.9589                        -0.328                        0                             -1.5676                       -17.4826                      1.5815                        -2.4575                       0.5007                        -1.6753                       0.6738                        -3.5392                       
