Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
12:50:57.212                  6.1646                        1.0537                        -1.5398                       -17.6217                      0.9057                        -17.3117                      0.1715                        -43.0129                      0                             0.3                           
12:50:57.432                  6.1639                        1.0534                        -1.5403                       -17.6215                      0.9055                        -17.3115                      0.1788                        -43.0082                      0                             0.3                           
12:50:57.662                  6.1633                        1.0531                        -1.5407                       -17.621                       0.9053                        -17.3115                      0.1861                        -43.0035                      0                             0.3                           
12:50:57.882                  6.1627                        1.053                         -1.5409                       -17.6206                      0.9052                        -17.3114                      0.193                         -42.9988                      0                             0.3                           
12:50:58.092                  6.1618                        1.0525                        -1.5407                       -17.6206                      0.9052                        -17.3116                      0.1991                        -42.9943                      0                             0.3                           
12:50:58.312                  6.1607                        1.0516                        -1.5403                       -17.621                       0.9053                        -17.3115                      0.2042                        -42.991                       0                             0.3                           
12:50:58.542                  6.1597                        1.0506                        -1.5399                       -17.6211                      0.9055                        -17.3116                      0.2099                        -42.9874                      0                             0.3                           
12:50:58.762                  6.159                         1.0498                        -1.5398                       -17.621                       0.9059                        -17.3117                      0.2159                        -42.9837                      0                             0.3                           
12:50:58.982                  6.1586                        1.0492                        -1.5398                       -17.6208                      0.9063                        -17.3123                      0.2217                        -42.9795                      0                             0.3                           
12:50:59.192                  6.1583                        1.0487                        -1.5396                       -17.6208                      0.9064                        -17.3127                      0.2281                        -42.9752                      0                             0.3                           
12:50:59.422                  6.1577                        1.0484                        -1.5395                       -17.6212                      0.9062                        -17.3124                      0.234                         -42.9712                      0                             0.3                           
12:50:59.642                  6.1565                        1.0481                        -1.5395                       -17.6216                      0.9059                        -17.3118                      0.2389                        -42.9678                      0                             0.3                           
