Specimen_AllReader_Record8 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     R3 T (N��m),                  ID:2 R4 (X)                   ID:2 R4 (Y)                   ID:4 R5 (X)                   ID:4 R5 (Y)                   ID:6 R6 (X)                   ID:6 R6 (Y)                   ID:7 R7 (X)                   ID:7 R7 (Y)                   ID:8 R8 (X)                   ID:8 R8 (Y)                   
15:33:07.609                  0.9612                        -0.4554                       0.298                         0                             2.6529                        0.7018                        -1.6944                       -16.8219                      1.467                         -0.7784                       0.481                         -1.6175                       0.668                         -3.442                        
15:33:08.632                  0.9601                        -0.4551                       0.299                         0                             2.6535                        0.7024                        -1.6956                       -16.8207                      1.465                         -0.7785                       0.4825                        -1.6175                       0.6692                        -3.4412                       
15:33:09.640                  0.9605                        -0.4549                       0.299                         0                             2.6532                        0.7033                        -1.695                        -16.8218                      1.4652                        -0.7788                       0.4818                        -1.6181                       0.6687                        -3.4417                       
15:33:10.631                  0.9592                        -0.4555                       0.299                         0                             2.6532                        0.7016                        -1.6953                       -16.8211                      1.4669                        -0.7788                       0.4831                        -1.6188                       0.6696                        -3.4417                       
15:33:11.633                  0.9598                        -0.4557                       0.299                         0                             2.6532                        0.7016                        -1.6951                       -16.8207                      1.4654                        -0.7788                       0.4819                        -1.6183                       0.6693                        -3.4414                       
15:33:12.644                  0.9603                        -0.4559                       0.298                         0                             2.6536                        0.7014                        -1.6938                       -16.8212                      1.4662                        -0.7779                       0.4809                        -1.6175                       0.6682                        -3.4417                       
15:33:13.663                  0.9604                        -0.4548                       0.299                         0                             2.6528                        0.7024                        -1.695                        -16.8207                      1.4664                        -0.7788                       0.4808                        -1.6188                       0.6691                        -3.4409                       
15:33:14.673                  0.9605                        -0.456                        0.299                         0                             2.6531                        0.7022                        -1.6956                       -16.8218                      1.4651                        -0.7786                       0.4812                        -1.6178                       0.6686                        -3.4415                       
15:33:15.678                  0.961                         -0.4552                       0.299                         0                             2.653                         0.7027                        -1.6941                       -16.8208                      1.4656                        -0.7772                       0.4826                        -1.6184                       0.6673                        -3.4415                       
15:33:16.698                  0.9606                        -0.4545                       0.298                         0                             2.6532                        0.7016                        -1.6955                       -16.8205                      1.4663                        -0.7785                       0.4814                        -1.6184                       0.6686                        -3.4422                       
15:33:17.679                  0.9604                        -0.4554                       0.299                         0                             2.6522                        0.7017                        -1.6941                       -16.8213                      1.4667                        -0.7791                       0.483                         -1.6171                       0.6674                        -3.4423                       
15:33:18.729                  0.9609                        -0.4556                       0.299                         0                             2.6527                        0.7011                        -1.6955                       -16.821                       1.4658                        -0.7791                       0.4819                        -1.6193                       0.6691                        -3.4417                       
