Specimen_AllReader_Record19 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   R2 D (cm)                     R3 T (N��m),                  ID:4 R4 (X)                   ID:4 R4 (Y)                   ID:6 R5 (X)                   ID:6 R5 (Y)                   ID:7 R6 (X)                   ID:7 R6 (Y)                   ID:8 R7 (X)                   ID:8 R7 (Y)                   ID:2 R8 (X)                   ID:2 R8 (Y)                   
14:39:21.119                  1.5962                        -0.1984                       0.299                         0                             -1.6536                       -16.8605                      1.5995                        -2.2567                       0.5081                        -1.6562                       0.6757                        -3.515                        2.7819                        0.7261                        
14:39:21.406                  1.5961                        -0.1983                       0.299                         0                             -1.6537                       -16.8601                      1.5991                        -2.2568                       0.5081                        -1.6567                       0.6763                        -3.5156                       2.7822                        0.7258                        
14:39:21.684                  1.5961                        -0.1989                       0.299                         0                             -1.6539                       -16.8599                      1.5995                        -2.2567                       0.5084                        -1.657                        0.6767                        -3.5154                       2.7818                        0.7257                        
14:39:21.954                  1.5959                        -0.1996                       0.299                         0                             -1.6544                       -16.8598                      1.6003                        -2.2563                       0.5089                        -1.6567                       0.6769                        -3.5148                       2.7814                        0.7263                        
14:39:22.245                  1.5959                        -0.1999                       0.299                         0                             -1.6544                       -16.8601                      1.6007                        -2.2557                       0.5092                        -1.6564                       0.6771                        -3.5142                       2.7809                        0.7268                        
14:39:22.516                  1.5956                        -0.1995                       0.299                         0                             -1.6541                       -16.8601                      1.6003                        -2.2554                       0.5093                        -1.6564                       0.6773                        -3.5143                       2.7811                        0.7269                        
14:39:22.801                  1.5956                        -0.1993                       0.298                         0                             -1.6541                       -16.8599                      1.5997                        -2.2555                       0.509                         -1.657                        0.6775                        -3.5146                       2.7815                        0.7265                        
14:39:23.073                  1.596                         -0.1994                       0.299                         0                             -1.6544                       -16.8602                      1.5997                        -2.2555                       0.5088                        -1.6573                       0.6774                        -3.5145                       2.7817                        0.726                         
14:39:23.348                  1.5962                        -0.1998                       0.299                         0                             -1.655                        -16.8602                      1.6                           -2.2556                       0.5083                        -1.6577                       0.6771                        -3.5144                       2.7815                        0.7253                        
14:39:23.648                  1.5962                        -0.1997                       0.298                         0                             -1.655                        -16.8597                      1.6004                        -2.2556                       0.5083                        -1.6576                       0.677                         -3.5144                       2.7811                        0.7249                        
14:39:23.953                  1.5965                        -0.1994                       0.299                         0                             -1.6543                       -16.8592                      1.6005                        -2.2555                       0.5085                        -1.6571                       0.6771                        -3.5144                       2.7812                        0.7246                        
14:39:24.240                  1.5969                        -0.1995                       0.299                         0                             -1.6538                       -16.8592                      1.6003                        -2.2557                       0.5084                        -1.6571                       0.6771                        -3.5143                       2.7817                        0.7248                        
14:39:24.509                  1.5967                        -0.2                          0.298                         0                             -1.6535                       -16.8594                      1.5999                        -2.2559                       0.5085                        -1.6569                       0.6766                        -3.5146                       2.7824                        0.725                         
14:39:24.799                  1.5965                        -0.2                          0.299                         0                             -1.6535                       -16.8592                      1.5996                        -2.2561                       0.5084                        -1.657                        0.6766                        -3.5153                       2.7823                        0.7252                        
14:39:25.075                  1.5962                        -0.1998                       0.299                         0                             -1.654                        -16.8587                      1.5994                        -2.2559                       0.5087                        -1.6572                       0.6769                        -3.5152                       2.7815                        0.725                         
14:39:25.340                  1.5958                        -0.1997                       0.298                         0                             -1.6545                       -16.8588                      1.5994                        -2.2557                       0.5087                        -1.6571                       0.6768                        -3.5146                       2.7808                        0.7247                        
14:39:25.647                  1.5955                        -0.1996                       0.298                         0                             -1.6546                       -16.8593                      1.5996                        -2.2557                       0.5085                        -1.6569                       0.6761                        -3.5142                       2.7811                        0.7244                        
14:39:25.933                  1.5956                        -0.1997                       0.298                         0                             -1.6546                       -16.8598                      1.6                           -2.2555                       0.5084                        -1.6569                       0.6758                        -3.5143                       2.7813                        0.7243                        
14:39:26.209                  1.5956                        -0.1999                       0.298                         0                             -1.6547                       -16.8597                      1.6                           -2.2551                       0.5082                        -1.6573                       0.676                         -3.5147                       2.7812                        0.7245                        
14:39:26.476                  1.5958                        -0.1993                       0.298                         0                             -1.6545                       -16.859                       1.6                           -2.2545                       0.508                         -1.6571                       0.6765                        -3.5151                       2.7814                        0.7249                        
14:39:26.765                  1.5961                        -0.1984                       0.298                         0                             -1.6546                       -16.859                       1.6003                        -2.2542                       0.5079                        -1.6565                       0.6767                        -3.5155                       2.7817                        0.7249                        
